course_id,course_title,ects,language,EC_Opportunity,EC_Strategic,EC_Commitment,EC_Analytical,EC_Innovative,EC_Human,EC_Operational,EC_Relationship,EC_Learning,EC_Personal_Strength,EC_Technical,EC_Ethical,Sector_GenAI,Sector_HealthTech,Sector_MedTech,Sector_BioTech,Sector_Robotics,n_ec_domains_covered,ec_total_score,sector_total_score
"8,000",Forschungsmethoden für Geschäftsinnovation,3,DE,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
"7,003",Technology Entrepreneurship,3,EN,1,0,1,0,0,1,3,2,0,2,3,0,0,0,0,0,0,7,13,0
"8,002",Platform Economy,6,EN,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,4,6,0
"8,003",RPV: Venturing in Emerging Trends - Entrepreneurship and,4,EN,0,0,1,0,2,1,0,1,1,1,0,0,0,0,0,0,0,6,7,0
"8,004",FPV: Digitale Kommunikation und Geschäftsmodelle,4,DE,0,1,1,0,0,2,0,3,0,0,0,0,3,0,0,0,0,4,7,3
"7,021",FPV: Digitale und Datengetriebene Organisationen,4,DE,0,0,0,3,0,0,3,0,1,0,1,0,0,0,0,0,0,4,8,0
"8,006",IC: Innovationen in Entwicklungsländern,4,DE,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0
"8,007",FPV: Supply Chain Innovation,4,DE,0,0,1,1,0,0,3,3,3,0,0,1,0,0,0,0,0,6,12,0
"8,009",RPV: Social Media Mining with NoSQL-Databases,4,EN,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,6,0
"8,011",FPV: Gestaltung Digitaler Produkte und Lösungen mit AI,4,DE,0,2,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,4,5,2
"8,015",Sustainable Innovation through Human-centered Design,3,EN,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
"8,016",Methoden: Data Science und AI for Business,6,DE,0,0,0,3,0,0,1,1,3,0,0,0,3,0,0,0,1,4,8,4
"8,017","Methoden: Prototyping von Produkten, Dienstleistungen und Geschäftsmodelle",3,DE,0,1,3,1,3,0,0,1,1,0,0,0,0,0,0,0,0,6,10,0
"8,019",Leveraging AI for Healthcare,6,EN,0,0,0,0,0,0,2,2,3,0,2,0,0,3,0,0,0,4,9,3
"8,020",Managing Behavioral Visibility,3,EN,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0
"8,021",FPV: Gestaltung und Entwicklung von User Interfaces,4,DE,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,3,4,1
"8,023",FPV: Design Thinking für Digital Innovation,4,DE,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,9,0
"8,024",FPV: Data Science und AI for Business,4,DE,0,1,1,2,3,0,1,3,1,2,0,0,2,0,0,0,0,8,14,2
"8,025",Methods: Business Knowledge Visualisation,3,EN,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,3,4,0
"8,026",Digitale Kommunikation und Content Management,3,DE,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,9,0
"8,027",Sustainable Corporate Strategies and Solutions,3,EN,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0
"8,028",Change und Project Management,3,DE,0,0,1,0,0,2,3,3,0,0,3,0,0,0,0,0,0,5,12,0
"8,029",Corporate Transformation - An Integrative Perspective,3,EN,0,0,0,0,0,2,3,1,1,0,1,0,0,0,0,0,0,5,8,0
"8,030",Chancen und Gefahren des Unternehmenswachstums,3,DE,0,1,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,5,11,0
"8,032",Methods: Social Network Analysis - a Systematic and Quantifying,3,EN,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,2,5,1
"7,033",Methods: Integrated Business Planning with Certificate,3,EN,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,5,0
"8,036",Entrepreneurial Finance,3,EN,0,0,0,2,0,0,1,1,3,0,0,0,0,0,0,0,0,4,7,0
"8,037","Agentic AI Design, Governance and Management",6,EN,0,0,0,0,3,0,3,1,0,0,3,3,0,0,0,0,0,5,13,0
"8,039",Methoden: Agile und traditionelle Lösungsgestaltung für Business,3,DE,0,0,1,0,0,0,3,1,0,0,3,0,0,0,0,0,0,4,8,0
"8,040",Selling Technology Solutions,3,EN,0,1,1,0,0,0,1,3,0,0,3,1,2,0,0,0,0,6,10,2
"8,041",KI- und Technologie-Anwendungen im Supply Chain,3,DE,0,0,1,0,0,0,3,0,2,0,0,3,0,0,0,0,3,4,9,3
"7,046",Corporate Venturing,3,EN,0,1,0,1,0,0,2,3,1,0,1,0,0,0,0,0,0,6,9,0
"8,043",IT Management: Business/IT-Integration durch Enterprise,3,DE,0,2,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,4,7,0
"8,044",IC: Gesellschaftliche Aspekte der Digitalisierung,4,DE,0,0,0,3,0,0,1,0,1,2,0,0,1,0,0,0,0,4,7,1
"8,045",IC: From Data2Dollar - Dein Technologiekoffer von der,4,DE,0,0,0,1,0,0,1,0,1,1,2,0,3,0,0,0,0,5,6,3
"8,046",Business Process Mining and Engineering,6,EN,0,0,0,2,0,1,3,0,0,0,3,1,2,0,2,0,0,5,10,4
"8,047",Evaluating Innovation in Companies and at System Level,3,EN,0,0,0,3,0,0,3,1,1,0,3,0,0,3,0,0,2,5,11,5
"7,049","Digital Platforms: Foundations, Management, Governance",6,EN,0,0,2,0,0,0,0,3,2,1,3,3,0,0,0,0,0,6,14,0
"8,232",High-Growth Entrepreneurship: An International Applied Perspective,4,EN,0,0,0,0,0,3,2,0,1,0,3,0,0,0,0,0,0,4,9,0
"8,811",IC: Agile Transformation und Arbeitsprinzipien,4,DE,0,0,0,0,1,0,3,1,1,0,1,0,0,0,0,0,0,5,7,0
"7,000",Grundlagen Business Innovation,4,DE,0,3,0,0,1,0,3,3,0,0,3,0,0,0,0,0,0,5,13,0
"7,001",Business Innovation I: Geschäftsmodelle entwickeln,4,DE,1,3,0,0,3,2,1,0,2,0,0,0,0,0,0,0,0,6,12,0
"7,002",Business Innovation II: Unternehmen gestalten und digital,4,DE,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0
"7,005",RPV: Prompt Engineering: Innovation through generative AI,4,EN,0,0,0,2,0,0,2,3,1,2,3,0,3,0,0,0,0,6,13,3
"7,006",FPV: Psychologie der Innovationsprozesse,4,DE,0,0,1,0,0,2,2,1,3,0,0,0,0,0,0,0,0,5,9,0
"7,007",RPV: Low Code Development Platforms,4,EN,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,3,7,0
"7,010",IC: Strategic Management of New Technologies in Companies,4,EN,0,0,0,0,0,3,3,3,1,1,1,0,0,0,0,0,0,6,12,0
"7,012",R & D Management,3,EN,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,3,0
"7,014",Produktionsmanagement,3,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7,015",Introduction to Business Process Management,3,EN,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,3,7,0
"7,016",Managing IT Security and Privacy in Organisations,3,EN,0,0,1,1,0,2,1,0,1,0,0,3,0,0,0,0,0,6,9,0
"7,018",RPV: Digital Business and IT Innovations,4,EN,0,3,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,5,10,0
"7,020",IC: Aktuelle Managementfragestellungen im Schweizer,4,DE,1,1,1,2,1,2,3,3,0,1,0,0,0,2,0,0,0,9,15,2
"7,022",Cloud Computing für datengetriebene Geschäftsmodelle:,6,DE,0,0,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,3,6,1
"7,023",Tech Investing ,3,EN,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,4,6,0
"7,024",Operative Excellence (OPEX),3,EN,0,0,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,4,7,0
"7,025",Methods: Scalable Tech Stacks for Business Ideas,3,EN,0,0,0,1,1,0,2,0,1,0,3,0,0,0,0,0,0,5,8,0
"7,026",Supply Chain Management I,3,DE,0,0,1,1,0,0,3,0,1,0,0,2,0,0,0,0,0,5,8,0
"7,027",Digitalisierung in der Industrie: Smart Production und Services,3,DE,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,4,0
"7,028",IT Management: Strategische Positionierung der IT in der,3,DE,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0
"7,029",Quality Management for Superior Performance and Innovation,3,EN,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,6,0
"7,031","Methoden: Web, Social und Mobile Analytics",3,DE,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,4,0
"7,034",Methods: Supply Chain and Operations Management,3,EN,0,0,0,3,0,0,3,2,3,0,0,0,0,0,0,0,0,4,11,0
"7,035",Methods: Lean Venturing,3,EN,0,2,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,5,7,0
"7,036",Project Leadership für Business Innovation,3,DE,0,2,0,1,0,3,3,3,1,0,0,2,0,0,0,0,0,7,15,0
"7,037",Effective Data Communication - How to Talk about Data,3,EN,0,0,2,1,0,0,0,3,0,2,0,0,0,0,0,0,0,4,8,0
"7,038",Management von Verkehrsunternehmen,3,DE,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,0
"7,039",Gestaltung und Management von Digital Channels und,3,DE,0,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,5,7,0
"7,041",Asia Compact: Fintech Innovation in Singapore and Southeast,3,EN,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0
"7,043",Mobile Sensing and Behavioral Metrics,6,EN,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,3,5,2
"7,044",Turning Geographic Information into Business Insights,6,EN,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,3,6,0
"7,046",Corporate Venture Capital,3,EN,0,1,0,1,0,0,2,3,1,0,1,0,0,0,0,0,0,6,9,0
"7,047",IC: Responsible Innovation Lab,4,EN,0,0,0,1,1,0,2,1,1,0,3,3,0,0,0,0,0,7,12,0
"7,082",Behavioral Science & Technology,4,EN,0,0,2,3,0,0,0,0,0,1,3,0,0,0,0,0,0,4,9,0
"7,852",User-Centred Design,6,EN,0,0,0,3,0,0,2,0,3,0,1,0,0,0,0,0,0,4,9,0
"7,862",Software Assessment: From Planning to Experimentation,6,EN,0,0,0,2,0,0,3,0,3,0,3,0,0,0,0,0,0,4,11,0
"7,864",Ubiquitous Computing,3,EN,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,3,7,0
"9,004",FPV: Design Thinking mit KI,4,DE,0,0,0,0,3,1,0,1,2,0,1,0,0,0,0,0,0,5,8,0
"9,005",RPV: Aviation and Space Industry,4,EN,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,2,4,3
"9,007","Introduction to Blockchain, DLT & Crypto",3,EN,0,2,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,4,9,0
"9,008",IC: Lean Product and Outsourcing Management,4,EN,0,0,1,3,2,0,3,1,3,0,0,0,0,0,0,0,0,6,13,0
"9,009",FPV: Circular Economy - Optimierung im Supply Chain,4,DE,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4,4,0
"9,012",Community Management,3,DE,0,1,0,0,2,2,1,3,0,0,2,0,0,0,0,0,0,6,11,0
"9,014",Introduction to Software Engineering,6,EN,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,4,0
